BA (Hons) Human Resource Management,Business, Colombo / KIC / , Degree ,Full Time / Part Time,3 Years,https://www.nibm.lk/programmes/ba-hons-human-resource-management/
BA (Hons) Management and Leadership,Business, Colombo / KIC / , Degree ,Full Time / Part Time,3 Years,https://www.nibm.lk/programmes/ba-hons-management-and-leadership/
BA (Hons) Professional Accounting,Business, Colombo / KIC / , Degree ,Full Time,3 Years,https://www.nibm.lk/programmes/ba-hons-professional-accounting/
Bachelor of Business Analytics,Computing, Colombo / , Degree ,Full Time,One year Diploma or two year HND pathway to Deakin.,https://www.nibm.lk/programmes/bachelor-of-business-analytics/
BSc (Hons) Ethical Hacking and Network Security,Computing, Colombo / , Degree ,Full Time / Part Time,04 Years,https://www.nibm.lk/programmes/bsc-hons-ethical-hacking-and-network-security/
BSc (Hons) Computing,Computing, Colombo / , Degree ,Part Time,04 Years,https://www.nibm.lk/programmes/bsc-hons-computing/
BSc (Hons) Information Technology for Business,Computing, Colombo / , Degree ,Full Time / Part Time,04 Years,https://www.nibm.lk/programmes/bsc-hons-information-technology-for-business-itb/
BA (Hons) Creative Multimedia,Computing, Colombo / , Degree ,Weekend,3 Years,https://www.nibm.lk/programmes/ba-hons-creative-multimedia/
BA (Hons) English and TESOL,Languages, Colombo / Kirulapone / KIC / , Degree ,Part Time,02 years,https://www.nibm.lk/programmes/ba-hons-english-and-tesol/
BSc(Hons) Global Logistics (Full-Time),Productivity and Quality Centre, Colombo / , Degree ,Full-Time,03 Years,https://www.nibm.lk/programmes/bsc-hons-global-logistics-full-time/
BEng (Hons) Manufacturing Engineering,Engineering, Colombo / , Degree ,Full Time / Part Time,03 Years,https://www.nibm.lk/programmes/beng-hons-manufacturing-engineering/
BSc(Hons) Global Logistics (Part-Time),Productivity and Quality Centre, Colombo / , Degree ,Part Time,3 Years,https://www.nibm.lk/programmes/bsc-hons-global-logistics-part-time/
BSc (Hons) in Digital Banking and Finance,Business, Colombo / , Degree ,Full-Time/ Part-Time,1 Year,https://www.nibm.lk/programmes/bsc-hons-in-digital-banking-and-finance/
BA (Hons) Human Resource Management,Business, Colombo / KIC / , Degree ,Full Time / Part Time,3 Years,https://www.nibm.lk/programmes/ba-hons-human-resource-management/
BA (Hons) Management and Leadership,Business, Colombo / KIC / , Degree ,Full Time / Part Time,3 Years,https://www.nibm.lk/programmes/ba-hons-management-and-leadership/
BA (Hons) Professional Accounting,Business, Colombo / KIC / , Degree ,Full Time,3 Years,https://www.nibm.lk/programmes/ba-hons-professional-accounting/
BSc (Hons) in Digital Banking and Finance,Business, Colombo / , Degree ,Full-Time/ Part-Time,1 Year,https://www.nibm.lk/programmes/bsc-hons-in-digital-banking-and-finance/
Bachelor of Arts (Hons) in Fashion Design,Design, Kirulapone / KIC / , Degree ,Full Time,03 Years,https://www.nibm.lk/programmes/bachelor-of-arts-hons-in-fashion-design/
BA (Hons) Professional Design (Visual Communication),Design, Kirulapone / , Degree ,Full Time,03 Years,https://www.nibm.lk/programmes/ba-hons-professional-design-visual-communication/
Bachelor of Arts in Interior Architecture,Design, Kirulapone / KIC / , Degree ,Full Time,03 Years,https://www.nibm.lk/programmes/bachelor-of-arts-in-interior-architecture/
BA (Hons) English and TESOL,Languages, Colombo / Kirulapone / KIC / , Degree ,Part Time,02 years,https://www.nibm.lk/programmes/ba-hons-english-and-tesol/
BSc (Hons) Data Science,Business Analytics Centre, KIC / Kirulapone / , Degree ,Full Time / Part Time,3 Years,https://www.nibm.lk/programmes/bsc-hons-data-science/
Bachelor of Arts (Hons) in Broadcasting & Journalism,Humanities, Kirulapone / , Degree ,Full Time,03 Years,https://www.nibm.lk/programmes/bachelor-of-arts-hons-in-broadcasting-journalism/
BSc (Hons) Psychology and Counselling,Humanities, Kirulapone / KIC / , Degree ,Full-Time/ Part-Time,03 Years,https://www.nibm.lk/programmes/bsc-hons-psychology-and-counselling/
BA (Hons) English Studies,Languages, Kirulapone / KIC / Colombo / , Degree ,Full Time,03 Years,https://www.nibm.lk/programmes/ba-hons-english-studies/
Bachelor of Arts (Hons) in Fashion Design,Design, Kirulapone / KIC / , Degree ,Full Time,03 Years,https://www.nibm.lk/programmes/bachelor-of-arts-hons-in-fashion-design/
Bachelor of Arts in Interior Architecture,Design, Kirulapone / KIC / , Degree ,Full Time,03 Years,https://www.nibm.lk/programmes/bachelor-of-arts-in-interior-architecture/
BA (Hons) Creative Multimedia,Computing, Colombo / , Degree ,Weekend,3 Years,https://www.nibm.lk/programmes/ba-hons-creative-multimedia/
BA (Hons) Management and Leadership,Business, Colombo / KIC / , Degree ,Full Time / Part Time,3 Years,https://www.nibm.lk/programmes/ba-hons-management-and-leadership/
BA (Hons) Human Resource Management,Business, Colombo / KIC / , Degree ,Full Time / Part Time,3 Years,https://www.nibm.lk/programmes/ba-hons-human-resource-management/
BA (Hons) Professional Accounting,Business, Colombo / KIC / , Degree ,Full Time,3 Years,https://www.nibm.lk/programmes/ba-hons-professional-accounting/
BSc (Hons) Psychology and Counselling,Humanities, Kirulapone / KIC / , Degree ,Full-Time/ Part-Time,03 Years,https://www.nibm.lk/programmes/bsc-hons-psychology-and-counselling/
BA (Hons) English and TESOL,Languages, Colombo / Kirulapone / KIC / , Degree ,Part Time,02 years,https://www.nibm.lk/programmes/ba-hons-english-and-tesol/
BA (Hons) Professional Design (Visual Communication),Design, Kirulapone / , Degree ,Full Time,03 Years,https://www.nibm.lk/programmes/ba-hons-professional-design-visual-communication/
